30000
Yaw Pitch Raw
47.jpg 7.759918 -0.72081757 -1.1952438
48.jpg 4.329468 -9.126823 -0.48072815
49.jpg 43.162292 5.8629227 2.7821655
50.jpg -0.20979309 -14.133331 -0.29551697
51.jpg 20.680466 -12.206802 -3.2946243
52.jpg -0.6990509 -12.555794 -0.28663635
53.jpg -1.8854218 -16.17199 -0.20977783
54.jpg -19.374374 -17.500305 3.8309479
55.jpg 4.575302 -15.168419 -1.360611
56.jpg -16.548729 -21.526344 4.1626587
57.jpg 0.09080505 -1.6805878 1.7795868
58.jpg -9.351395 -17.865265 0.114715576
59.jpg -17.113068 -18.673996 3.088005
60.jpg 13.302277 0.09791565 -0.9405441
61.jpg 8.039886 -12.413605 -1.803566
62.jpg 2.9846878 -10.319603 -0.42092896
63.jpg 13.896858 -1.6663818 1.4168243
64.jpg -6.4345245 -11.143997 -3.9457626
65.jpg 3.4526825 -10.890991 -0.72393036
66.jpg -0.291893 -13.258926 0.9239502
67.jpg -7.5348206 -12.106583 1.7934036
68.jpg 13.423752 -5.278267 -2.3213654
69.jpg 5.5252075 -11.162529 -1.6747284
70.jpg -1.5521164 7.1413727 -0.7779236
71.jpg 16.440582 -3.258873 1.6376648
72.jpg -9.038994 -19.539848 2.5831833
73.jpg -30.187424 -16.217712 1.4240875
74.jpg 10.081123 -9.451035 -2.2480545
75.jpg -4.6298523 -15.111328 -0.4725952
76.jpg 2.4660187 -1.397171 1.3157272
77.jpg -3.6040802 -18.310295 1.1142273
78.jpg -2.4359436 -8.031769 0.5712738
79.jpg -21.907616 -7.560608 1.7641068
80.jpg 20.255615 -10.486198 -6.3070526
81.jpg -27.828209 -18.924156 4.3989487
82.jpg 10.6614685 -5.855774 0.74365234
83.jpg 21.781288 -8.204857 -4.327942
84.jpg -14.336319 -9.62204 2.3052292
85.jpg -8.181496 -15.961517 2.18544
86.jpg 4.0298767 -3.3063507 -0.4272461
87.jpg -10.000214 -11.343887 0.58312225
88.jpg -6.66642 -10.244194 -0.96061707
89.jpg -11.383377 3.5655365 0.44476318
90.jpg 18.473297 -11.093132 -3.5342255
91.jpg 2.2250824 6.820656 3.83786
92.jpg 10.651764 -8.856918 -1.549469
93.jpg -11.834175 -24.669365 1.5392151
94.jpg -10.444038 -6.511101 1.8673325
95.jpg -6.7863617 -13.740814 0.7129898
96.jpg 18.246346 -23.067596 -4.856514
97.jpg 1.4227524 -10.074265 -0.28422546
98.jpg -4.9555283 -18.484985 0.6245041
99.jpg 1.4854584 -5.784973 0.8567047
100.jpg -1.086525 -5.919586 1.0686722
101.jpg 8.470108 -9.881973 -0.6047363
102.jpg 13.669891 5.714981 1.1627884
103.jpg -2.0861206 -15.94503 -0.13420105
104.jpg -22.306847 -10.301979 1.3099213
105.jpg 8.850876 -7.7472916 0.04914093
106.jpg 6.325081 -15.914856 0.1436615
107.jpg 14.373848 -12.113152 -4.0983887
108.jpg 14.713318 -10.313675 0.03427124
109.jpg 3.2855759 -19.416908 -0.30151367
110.jpg -5.115753 -14.840149 0.34481812
111.jpg -1.4545135 -9.641113 -0.22290802
112.jpg -5.288376 -2.1562805 2.3843765
113.jpg 11.443771 -3.848259 -2.1015625
114.jpg -28.303383 -13.482193 0.73272705
115.jpg -35.952507 20.958542 -4.61528
116.jpg -3.8762665 -13.233475 0.29280853
117.jpg -3.8250961 6.46402 -0.29871368
118.jpg -8.149147 -5.362404 -0.08919525
119.jpg 24.089973 -13.007477 -4.6011963
120.jpg -16.191734 -10.285507 1.7307892
121.jpg 2.1623993 -12.093636 -0.44890594
122.jpg 10.624306 -5.7538834 0.10319519
123.jpg 13.182297 -10.419754 -1.9828949
124.jpg 13.985352 -12.477051 -2.712326
125.jpg 3.2151794 -6.5906067 1.1004868
126.jpg -4.835373 0.768692 1.6387024
127.jpg -20.503616 -7.6535873 2.9435806
128.jpg 0.7715454 -18.603409 0.7416382
129.jpg -2.7159576 -8.208527 -0.38949585
130.jpg 1.5351791 -7.8029785 0.941391
131.jpg -0.5503082 -9.34124 1.6798325
132.jpg 2.2372055 -8.852295 0.84194946
133.jpg -15.984436 -17.287415 2.5130997
134.jpg -39.008297 -26.2956 9.571793
135.jpg -4.7394943 5.215622 -1.454483
136.jpg 1.8138123 -9.210678 -0.7238617
137.jpg -4.457672 -7.494461 0.6300659
138.jpg 25.285614 -5.8982544 -1.3200378
139.jpg 19.552673 -9.572136 -4.2784805
140.jpg 18.532082 -9.026024 -1.3890228
141.jpg 19.823914 -8.849899 -6.0006714
142.jpg 2.8677063 -11.5349655 -1.2046738
143.jpg 16.018463 -12.789986 -2.2411957
144.jpg 15.903259 -16.315666 -2.9635468
145.jpg 20.346786 -11.238434 -3.691574
146.jpg 1.7999115 -15.92955 -0.51729584
147.jpg 26.05391 -9.8368225 -0.21613312
148.jpg -9.634148 -16.125534 2.223198
149.jpg -5.667282 -1.1421509 -0.2695465
150.jpg -32.264023 -9.049721 4.1414566
151.jpg 9.12532 -16.425835 -2.43441
152.jpg 6.4400635 -5.8013077 -1.3064117
153.jpg -5.475136 -15.816544 0.8946762
154.jpg 6.955971 -8.788734 -1.4217987
155.jpg 2.041397 -14.5193405 -1.3386154
156.jpg -2.7949677 -18.536026 -0.7230377
157.jpg -18.039566 -11.643066 -0.86782837
158.jpg 12.306885 -16.817238 -2.71035
159.jpg 1.5325241 0.91845703 0.3543396
160.jpg -7.6285095 16.614098 0.064971924
161.jpg -0.26369476 -13.449631 -1.0456924
162.jpg -6.16803 -7.303192 0.28889465
163.jpg -10.522804 -5.172577 -0.2823639
164.jpg 22.861053 5.8833466 0.11747742
165.jpg 13.55069 1.108078 4.5858307
166.jpg 14.264069 -10.938477 -2.09375
167.jpg -10.207474 -10.648926 -0.81173706
168.jpg -10.381081 -16.004227 1.7509003
169.jpg -2.4485092 -18.446472 0.20166016
170.jpg -15.468208 -14.886482 0.26570892
171.jpg 12.132202 -11.16967 -2.8482285
172.jpg -21.279732 -6.072319 1.5390244
173.jpg 53.016693 2.7142334 -1.3849335
174.jpg -36.324516 -14.366241 7.940941
175.jpg 33.00273 -13.56266 -7.3000107
176.jpg 20.127625 -16.88018 -7.1864166
177.jpg 5.3692703 -16.574036 -0.7344208
178.jpg -23.972145 0.17733765 1.046875
179.jpg -14.308472 -7.7062073 0.60118103
180.jpg -9.3390045 -5.993744 -0.3806305
181.jpg -3.495102 -17.312561 0.90423584
182.jpg -21.425766 -15.336075 2.45578
183.jpg 6.6260834 -9.170914 -2.1069183
184.jpg 19.396591 -5.285309 -0.5470047
185.jpg 12.942101 -9.256584 -2.361763
186.jpg -24.632011 -11.575432 3.8179474
187.jpg 1.2553406 -12.104118 -0.56222534
188.jpg -5.8215103 3.1914139 0.49015808
189.jpg -1.8819275 -6.1934204 -0.8731842
190.jpg 26.699722 8.4436035 6.647896
191.jpg 4.9508057 -8.9945755 -1.6808624
192.jpg 16.906326 -1.1544647 -1.2961578
193.jpg 21.730515 -12.116692 -0.77215576
194.jpg -3.347458 3.2381897 0.5874634
195.jpg 18.159195 -25.14328 -0.90327454
196.jpg -1.236084 -8.200996 -0.9696121
197.jpg -8.349632 8.965332 -0.11143494
198.jpg 12.266167 -7.4967804 -0.77456665
199.jpg 8.7213745 -8.669701 -2.483963
200.jpg 9.501694 -0.116500854 -2.0014038
201.jpg 22.97322 -15.156105 -4.5188446
202.jpg -0.20921326 -21.881966 -0.9870758
203.jpg -2.299942 -0.9730835 2.409027
204.jpg -0.8896332 -12.668442 0.38894653
205.jpg 4.031845 -15.438232 -1.4148712
206.jpg -9.937401 -11.810837 3.00589
207.jpg -5.268036 -7.19236 -0.059066772
208.jpg -6.080475 -13.775787 2.919548
209.jpg 4.800247 -15.272797 -0.39022827
210.jpg -20.036697 -19.790321 2.3292618
211.jpg -6.654251 -4.1631165 2.1142578
212.jpg 6.5021667 -8.931976 -1.7218094
213.jpg -3.9155655 -4.435585 1.6958084
214.jpg -3.9532776 -7.282669 -1.5380096
215.jpg 0.7462692 -7.0582275 0.2710266
216.jpg 4.954315 -8.7912445 -0.4490204
217.jpg 11.461655 -2.137207 -0.6847229
218.jpg 2.1050034 -19.749466 0.61102295
219.jpg -2.583725 -8.852135 1.0432663
220.jpg 14.997238 -22.488045 -5.0244675
221.jpg -3.7028732 -22.360313 0.39767456
222.jpg 10.101044 -4.5987244 0.16536713
223.jpg 5.0523224 -18.635689 -2.0115662
224.jpg 17.070442 -11.420517 -3.7879639
225.jpg 5.8358 -11.134827 0.81962585
226.jpg 17.232788 -4.161331 -2.7130585
227.jpg -3.5942001 -9.370956 0.050491333
228.jpg 2.347992 -13.599373 -0.26176453
229.jpg -2.2873383 -2.8160248 -0.28059387
230.jpg 11.237686 -0.25732422 0.17906189
231.jpg 1.5099182 -5.4101944 1.4941635
232.jpg 2.5223465 -9.367752 -0.16453552
233.jpg 25.303734 -15.127777 -4.279236
234.jpg 2.8109741 -10.90522 0.7908554
235.jpg 2.8109741 -10.90522 0.7908554
236.jpg -18.56063 -12.411743 2.4776764
237.jpg -10.481979 -18.391258 1.6702118
238.jpg 24.846436 -9.606964 -2.0510406
239.jpg 10.467072 -8.788544 -0.2460022
240.jpg 1.0131226 0.3098755 0.06472778
241.jpg 2.912178 -18.80606 -0.604187
242.jpg -23.611504 -13.924515 6.6145935
243.jpg 19.493881 -6.8091583 -1.1391907
244.jpg -0.96191406 -13.709557 0.33738708
245.jpg 16.892105 -8.8177185 -1.284378
246.jpg -6.651207 -6.480278 -1.0383453
247.jpg 3.8139954 -8.818939 -0.4407959
248.jpg -26.074646 -13.14682 1.6429443
249.jpg 4.468445 -5.1942368 -1.305542
250.jpg -20.009415 7.8111267 -3.5674896
251.jpg 11.18692 -11.019211 -2.6562958
252.jpg 9.2510605 29.648224 5.867096
253.jpg -15.104179 -11.217056 0.1505127
254.jpg 0.70454407 -0.8395233 2.121643
255.jpg 0.07531738 -7.4228516 -0.79584503
256.jpg -14.3526535 -1.4272308 0.3709488
257.jpg -11.6208725 -8.492683 2.7542877
258.jpg 20.779404 -13.485191 -1.7436066
259.jpg -1.6410065 -0.60639954 0.7868271
260.jpg 8.867981 -21.560814 -0.5986023
261.jpg 10.870811 0.5434723 0.37286377
262.jpg -2.7860641 -19.766708 0.8546753
263.jpg 13.930038 0.021621704 0.7746124
264.jpg -3.4389267 -2.3657913 -0.21838379
265.jpg -0.14717102 -7.368637 -0.67237854
266.jpg -0.21723938 -6.633606 0.42385864
267.jpg -39.081093 -19.624542 7.810684
268.jpg 18.73346 -18.382355 -5.1278763
269.jpg 16.014862 -18.612251 -0.8721161
270.jpg 3.2529297 3.2105942 -1.5461731
271.jpg -24.643295 3.2784805 -2.474701
272.jpg -6.4326096 -5.0008087 0.23370361
273.jpg 3.3177948 0.5504837 3.6526031
274.jpg 10.281258 -13.836029 -1.4279022
275.jpg -0.9965744 -17.063866 0.4532547
276.jpg -10.72319 -19.468666 1.963501
277.jpg 15.065643 -10.152725 -2.4830933
278.jpg 14.038834 -8.187462 -2.7511826
279.jpg 18.12439 -11.376053 -3.0616913
280.jpg 5.2406387 -13.256134 -1.200592
281.jpg 2.1445541 -0.47422028 0.7674408
282.jpg 24.318222 -4.267273 -0.23718262
283.jpg -1.2648163 -6.6877594 0.26094055
284.jpg -23.747604 -5.3815384 1.191925
285.jpg -5.205681 3.7429657 -0.18122864
286.jpg 9.238838 17.329353 2.6894073
287.jpg -2.770752 -10.285225 -0.44890594
288.jpg -1.4979172 8.818497 0.3991928
289.jpg -19.957169 -13.484924 3.2584763
290.jpg 10.531189 -0.39849854 -0.03942871
291.jpg -29.407913 -9.135132 5.6754303
292.jpg -3.498169 0.75572205 -2.5917435
293.jpg -1.6447601 -13.37619 -0.7363434
294.jpg 24.824692 -16.039116 -5.097122
295.jpg -0.027511597 -8.548103 -0.19319916
296.jpg -5.31353 -9.942139 1.3283386
297.jpg -4.1053925 3.1955566 0.66929626
298.jpg -2.2171555 -1.2701569 0.5804291
299.jpg -22.872177 -15.045898 0.9095993
300.jpg 5.301605 -0.8994751 0.23394775
301.jpg 0.7111664 -23.360794 0.06124878
302.jpg -3.31102 -12.772507 0.61200714
303.jpg -3.4479523 -10.262955 0.80336
304.jpg 46.392624 -16.353134 -7.804291
305.jpg -4.7936096 -9.039703 0.40164185
306.jpg 3.440689 -7.7025146 -0.55023193
307.jpg 13.125687 4.8579407 3.3659134
308.jpg 24.901459 -18.969833 -4.4876633
309.jpg 18.713379 -8.645851 -0.46691895
310.jpg -35.68516 -12.825264 5.3477325
311.jpg 0.7565918 -4.491173 0.7811508
312.jpg 16.252647 -14.950134 -1.6714783
313.jpg 1.4727936 -25.211708 -0.5626602
314.jpg 10.541718 -14.202423 -0.9612427
315.jpg 1.183136 2.7273407 0.0143585205
316.jpg 0.33554077 -9.609543 -0.4015503
317.jpg 3.6307678 -3.4031982 -0.472435
318.jpg 16.261856 -6.0651016 -2.6284943
319.jpg 1.42482 -6.77639 0.072021484
320.jpg -1.4937744 -5.7154694 0.6885681
321.jpg -18.425797 -17.83014 3.9988174
322.jpg 1.3536682 -0.30770874 0.019927979
323.jpg 3.1582947 -13.7956085 -1.0044098
324.jpg 3.5700073 -11.655983 -1.1535339
325.jpg -1.979248 -12.287033 0.5593109
326.jpg 0.7263565 -5.8581314 0.78959656
327.jpg 1.569603 1.9659119 -0.80527496
328.jpg 11.623489 2.8141937 1.5928955
329.jpg 6.1265106 -19.143143 -0.43998718
330.jpg -5.860176 -13.701706 -1.0891266
331.jpg 11.8787155 -6.0708237 -0.44882202
332.jpg 30.640442 -5.436371 0.026382446
333.jpg 3.3571167 2.6808243 0.732254
334.jpg 3.1233444 -6.9454803 -0.36621094
335.jpg -0.5007782 -9.037209 0.27184296
336.jpg -3.0009766 -6.8291016 -1.0036163
337.jpg 29.202835 -22.319351 -8.041702
338.jpg 11.005112 -10.685776 -2.137741
339.jpg 11.086502 2.385704 1.0638885
340.jpg 8.419846 -4.5666733 -1.6104584
341.jpg -1.0558319 -9.696503 -0.5081177
342.jpg 13.605072 -5.4831696 -2.4572144
343.jpg 10.857483 -9.518333 -2.531601
344.jpg -7.680649 -2.7028503 -4.8119965
345.jpg -6.579834 -10.666687 0.6921234
346.jpg 21.974396 -17.556122 -2.9234772
347.jpg -29.808311 -10.059158 1.067894
348.jpg 10.526611 -5.8711395 -1.1625137
349.jpg 24.607086 -16.456894 -5.0719147
350.jpg 14.053276 -13.088852 -0.18583679
351.jpg 5.784256 2.0367126 -1.9582977
352.jpg -11.276627 -1.3100052 -1.6983261
353.jpg 0.1776352 -10.59758 -0.3664856
354.jpg -1.0866623 -4.4283524 -0.7752075
355.jpg 3.6210022 -8.284737 -0.34249878
356.jpg 19.043304 -16.056747 -5.383507
357.jpg -7.467926 -17.274841 1.9154968
358.jpg 3.0493011 -10.612091 -1.0457306
359.jpg -0.6620178 -17.67028 0.073265076
360.jpg 0.42739105 -18.734207 -0.3008728
361.jpg -28.65483 -11.838974 1.2193756
362.jpg 12.318878 -8.968048 -0.8841934
363.jpg 18.146515 -22.173515 -2.7282867
364.jpg -11.991882 -5.895027 2.1240692
365.jpg -18.088768 -1.4478455 0.07450104
366.jpg -7.070816 -1.9964447 1.0022278
367.jpg 5.783539 -9.895447 -2.8142624
368.jpg 2.3463593 0.9965515 1.1397095
369.jpg 9.406342 -6.3894196 1.1784897
370.jpg 2.1744385 -8.020157 -0.49916077
371.jpg 19.323608 0.7661133 1.5618134
372.jpg -9.994202 -3.7579956 2.3468933
373.jpg -20.003647 -7.160263 1.1887207
374.jpg -4.8733597 11.393303 0.52319336
375.jpg 20.2816 -6.85672 -1.876442
376.jpg -2.0355148 -7.748657 0.40922546
377.jpg 0.52575684 1.271347 -0.49804688
378.jpg 22.861588 -13.33709 -0.8769989
379.jpg 1.7793274 9.907585 -0.6423187
380.jpg -6.359749 -8.67363 -0.31134033
381.jpg -0.01612854 -10.729904 -1.1102829
382.jpg 10.167297 -10.376289 -2.177475
383.jpg -2.4274902 -8.125374 1.010025
384.jpg 25.266861 -19.991837 -6.146057
385.jpg 5.312393 -16.514 -1.8304901
386.jpg 3.5329895 17.740189 1.6089249
387.jpg 21.026642 -10.411438 -2.6408691
388.jpg -31.536697 5.2279663 -0.81192017
389.jpg 11.752213 -15.080132 -1.2385483
390.jpg -1.5016632 -2.5317383 2.1671677
391.jpg 1.6183777 -1.5239716 -0.60523987
392.jpg -24.33561 -13.7192 0.78326416
393.jpg 4.5713882 14.924171 0.2232666
394.jpg -9.431023 11.849167 0.16482544
395.jpg -7.8039246 1.3270874 -0.6060333
396.jpg 4.1372375 -8.090736 -0.5072632
397.jpg -3.947998 -14.6772 0.89030457
398.jpg 6.7598267 -18.126587 -2.5995712
399.jpg -5.100281 -17.689186 0.0736084
400.jpg 17.66954 -2.8319397 0.06455994
401.jpg -42.0235 -16.920166 6.9313354
402.jpg -0.525589 -8.939308 -1.3768845
403.jpg 30.039139 -15.142143 -2.4451904
404.jpg -2.9588165 -8.143097 2.7086563
405.jpg 13.2460785 -9.453758 -2.8737717
406.jpg 18.416176 -2.3920593 1.1807327
407.jpg 6.724846 -15.387466 -0.58750916
408.jpg 6.782028 4.6069107 -0.69914246
409.jpg 1.0232239 7.972763 0.7347412
410.jpg -20.013657 -4.2862854 1.8606949
411.jpg 9.247665 -9.011055 -1.1125488
412.jpg 0.78302 -4.7067566 1.5197754
413.jpg 23.263397 -10.31945 -3.4291382
414.jpg -2.4526978 -7.79924 2.067192
415.jpg 15.38559 -1.1378937 -0.57762146
416.jpg -10.740501 -11.195358 1.3548279
417.jpg -0.68071747 -6.1467285 -0.18875885
418.jpg -6.9156036 -3.14917 0.68385315
419.jpg -7.746582 -12.582947 0.44950104
420.jpg 11.460365 -2.519806 -1.3206253
421.jpg -27.902489 14.795929 0.19901276
422.jpg 24.259483 -7.33815 -3.5815048
423.jpg -9.638878 1.4827118 -0.17018127
424.jpg 0.39968872 -5.5432434 0.22840881
425.jpg 13.48085 -8.330856 -1.7502136
426.jpg -2.2601013 -9.017326 1.227478
427.jpg -31.78247 -1.716095 0.5999298
428.jpg 17.49868 -12.8958435 -1.920517
429.jpg 1.7617035 -11.421997 0.16591644
430.jpg -19.169182 -2.313202 0.82061005
431.jpg -11.764778 -13.912193 0.9713516
432.jpg -21.386734 -12.549431 2.4981995
433.jpg -9.602913 -9.901138 0.060546875
434.jpg -11.834793 -3.68721 -0.08287811
435.jpg 8.212631 -2.2114792 -0.01737976
436.jpg 27.569992 -4.700569 0.6105423
437.jpg -15.85437 -16.008064 6.0805817
438.jpg 5.017639 -15.526001 2.323227
439.jpg 12.479935 -5.670639 0.9043579
440.jpg -3.8531494 -15.910233 0.38967133
441.jpg -14.319778 -13.168152 2.5808945
442.jpg -25.140083 6.9524536 -0.7389221
443.jpg -3.8011932 -10.213196 -0.36283875
444.jpg 6.50148 -9.965843 -0.59729004
445.jpg 8.690079 -3.0046768 0.86351013
446.jpg -9.139099 -12.347069 0.31459045
447.jpg -0.8523712 -8.871368 0.115356445
448.jpg -0.3273697 -10.807007 -1.7798615
449.jpg -50.300392 -14.913368 9.07457
450.jpg 5.5341644 -8.8307495 -1.6737442
451.jpg 13.979675 -7.0929337 -0.8375702
452.jpg 10.318665 -11.606216 -0.697525
453.jpg -13.495178 -11.756851 2.0974884
454.jpg 1.9285583 -12.983513 -2.0937042
455.jpg -2.9744797 -15.009163 0.028762817
456.jpg 2.462883 -6.905571 -0.3627472
457.jpg 8.987297 -10.649666 -1.047615
458.jpg -10.190086 -5.933861 0.5876312
459.jpg -2.2971344 -6.145691 -0.85809326
460.jpg -3.4211426 -9.419106 1.7751007
461.jpg 9.56044 -9.693436 -0.16864014
462.jpg -26.43245 -15.597061 2.535965
463.jpg -2.9521942 -12.393753 1.0467987
464.jpg 6.220001 -4.942795 3.674057
465.jpg 3.9717102 -16.541489 -0.103256226
466.jpg -1.7810364 -12.694519 0.96247864
467.jpg 29.383774 -10.740356 -3.0464706
468.jpg 9.103439 -6.420761 -0.78865814
469.jpg 26.917854 -12.633163 -6.7782593
470.jpg -19.49472 6.0056458 -0.19593811
471.jpg 14.908051 10.860672 0.8650131
472.jpg -6.2777634 -14.500732 0.8968811
473.jpg -0.0135269165 -6.741295 -0.7966614
474.jpg 16.265823 -1.9102631 0.4775238
475.jpg -2.9613342 5.026718 -1.0235596
476.jpg 6.2000656 2.8152237 -0.66070557
477.jpg 17.654007 -20.383484 -3.9348526
478.jpg 15.068466 1.273407 -0.22185516
479.jpg 30.417969 -31.458092 -10.3905945
480.jpg 18.324448 -5.9689484 -2.6952057
481.jpg 12.872131 -10.698181 -1.1752396
482.jpg -0.25923157 2.1987991 0.6223068
483.jpg -0.27954102 -6.8431473 0.595047
484.jpg 16.334915 -1.5574265 -0.038223267
485.jpg 20.011612 -7.366234 -2.795105
486.jpg 1.276825 -3.3527374 -3.1376648
487.jpg 32.415024 -10.057602 -0.45604706
488.jpg 38.158936 4.192589 0.8025818
489.jpg 2.4224854 -13.833015 -0.8885498
490.jpg 32.068085 -9.33931 -0.9531708
491.jpg 0.5090103 -5.3270874 0.8722
492.jpg 43.41626 8.855896 6.6074066
493.jpg -3.172699 -16.378532 -0.40196228
494.jpg -6.194023 -7.749214 -0.24784851
495.jpg -17.976318 -12.472862 1.1835709
496.jpg 7.806839 -10.974098 -2.1444855
497.jpg 3.5201263 -0.5320282 0.70884705
498.jpg -0.28530884 1.1447144 0.40655518
499.jpg -9.725433 -7.527054 2.359497
500.jpg -3.5836182 -5.0897446 2.51223
501.jpg 17.026909 -2.993042 -1.8275528
502.jpg 10.407288 -27.815437 -3.189392
503.jpg 4.1703873 -11.884026 -1.2202835
504.jpg -39.407196 -0.7828064 1.1317139
505.jpg 2.4508057 -6.5416336 -0.86691284
506.jpg -9.155685 -3.184723 0.34669495
507.jpg 6.5392685 3.3178482 1.5425949
508.jpg -6.6018677 -12.459198 1.0093231
509.jpg 32.660675 -5.92276 -1.7220383
510.jpg 4.4215546 -10.719177 -0.13774109
511.jpg 10.922623 -7.773857 0.052368164
512.jpg -13.107506 -7.7471924 1.789032
513.jpg -0.24952698 -10.17485 -1.5713501
514.jpg -1.1645508 -8.786018 -0.26470947
515.jpg 0.71806335 -3.8744888 -0.66604614
516.jpg 24.597908 -6.658966 0.63235474
517.jpg 30.859467 -6.1541443 -2.9734192
518.jpg -13.089577 -19.738426 2.3868484
519.jpg 13.182701 -6.237602 0.41498566
520.jpg 7.379532 -2.5159378 -0.006706238
521.jpg -5.073456 4.336151 0.352417
522.jpg -4.8138275 -9.612198 0.5099945
523.jpg 19.559189 -12.555656 -4.7892838
524.jpg -6.919342 4.7875366 4.170471
525.jpg 6.7325134 -13.145706 -0.7907562
526.jpg 1.5957947 -9.655869 1.594696
527.jpg -42.414127 -12.56308 6.355797
528.jpg -37.935425 -12.107185 4.859047
529.jpg -14.31488 -6.0526733 2.4655457
530.jpg 35.42859 -3.161438 1.6862869
531.jpg 3.7225952 -13.375992 -0.09552002
532.jpg 20.050255 -8.125511 -2.9397125
533.jpg 10.0737915 -13.835037 -2.5675735
534.jpg 5.4801483 -3.7563934 0.47504425
535.jpg 7.4302826 -3.8072815 0.51483154
536.jpg 3.8897781 -23.010254 -1.438179
537.jpg 1.8222656 2.2647858 -0.15184021
538.jpg 2.8640442 -4.0293045 1.5115585
539.jpg 2.838295 -3.0110016 -1.1309662
540.jpg -18.651863 -9.209061 0.21146393
541.jpg -2.0988235 -7.240959 -0.266716
542.jpg -24.451439 -1.7266159 2.1592484
543.jpg 18.49382 -14.547882 -3.628456
544.jpg -3.5424194 -11.137299 -0.24552155
545.jpg 17.313461 -6.662163 -2.385025
546.jpg 33.29686 -14.903152 -4.4080048
547.jpg -1.1195221 -3.6113281 0.5107269
548.jpg 6.1384506 -11.1790695 -0.8454895
549.jpg 5.4218903 -2.6026306 0.6795273
550.jpg 22.977646 -10.959785 -2.6795883
551.jpg -2.0660706 -13.363281 -0.12635803
552.jpg -4.3970795 0.05431366 0.4170456
553.jpg -8.122772 -14.872894 0.7461777
554.jpg -3.7189026 -1.9265289 0.41011047
555.jpg -0.23439789 -14.8315735 0.5095978
556.jpg -9.948097 -9.797691 -1.4966812
557.jpg -0.24746704 -5.38118 -0.9445801
558.jpg 1.8994217 -8.020416 -1.4119263
559.jpg 2.3006973 -1.4521027 -2.5876617
560.jpg 0.48280334 -17.563004 1.0181427
561.jpg -6.801117 -8.855324 1.0433502
562.jpg -3.9845886 -2.4187927 0.40857697
563.jpg -2.302414 1.2138977 1.9510498
564.jpg -9.484833 -12.95266 0.5922775
565.jpg 1.9179153 -13.576462 -1.956253
566.jpg 5.9557343 -9.711594 -1.3004456
567.jpg 23.964584 2.0126495 5.13443
568.jpg 0.7351532 -2.4181137 -0.151268
569.jpg 9.875046 -2.4644165 1.2130127
570.jpg -4.1032715 -1.8770599 -1.772255
571.jpg 7.313629 -1.9506683 -1.0657883
572.jpg -6.7041016 -11.0546875 0.807106
573.jpg 4.8483887 -14.6475525 -1.0193787
574.jpg 0.6148987 -15.426689 2.8722076
575.jpg 6.4774017 -9.793694 -2.4098816
576.jpg -53.008614 8.648506 1.0499268
577.jpg -27.062813 2.6420288 0.5281906
578.jpg 8.329132 -32.03186 -1.466217
579.jpg 16.002502 -11.378876 -3.2789307
580.jpg 0.14489746 -12.17366 1.8220215
581.jpg 8.715927 -6.259041 -0.17718506
582.jpg 5.2022705 -10.37532 -1.6141052
583.jpg 35.564316 -3.214325 1.6017303
